date,snow_depth_water_equivalent_mean,surface_net_solar_radiation_mean,surface_net_thermal_radiation_mean,surface_pressure_mean,temperature_2m_mean,dewpoint_temperature_2m_mean,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean,snow_depth_water_equivalent_min,surface_net_solar_radiation_min,surface_net_thermal_radiation_min,surface_pressure_min,temperature_2m_min,dewpoint_temperature_2m_min,u_component_of_wind_10m_min,v_component_of_wind_10m_min,volumetric_soil_water_layer_1_min,volumetric_soil_water_layer_2_min,volumetric_soil_water_layer_3_min,volumetric_soil_water_layer_4_min,snow_depth_water_equivalent_max,surface_net_solar_radiation_max,surface_net_thermal_radiation_max,surface_pressure_max,temperature_2m_max,dewpoint_temperature_2m_max,u_component_of_wind_10m_max,v_component_of_wind_10m_max,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_2_max,volumetric_soil_water_layer_3_max,volumetric_soil_water_layer_4_max,total_precipitation_sum,potential_evaporation_sum,streamflow
1981-01-01,0.0,105.14,-93.9,79.28,4.03,-10.17,-0.07,1.13,0.19,0.22,0.23,0.27,0.0,-0.0,-147.5,79.23,0.81,-13.84,-0.54,0.48,0.19,0.22,0.23,0.27,0.01,432.86,-65.61,79.37,8.38,-5.77,0.63,2.56,0.2,0.22,0.23,0.27,0.0,1.18,0.1
1981-01-02,0.0,105.51,-91.79,79.28,3.16,-7.81,0.22,0.57,0.19,0.22,0.23,0.27,0.0,-0.0,-152.75,79.23,-1.91,-9.62,-0.16,0.06,0.18,0.22,0.23,0.27,0.0,434.84,-57.51,79.38,8.4,-5.03,0.97,0.92,0.19,0.22,0.23,0.27,0.0,1.02,0.1
1981-01-03,0.03,56.49,-59.08,79.3,2.5,-5.42,0.05,0.41,0.18,0.22,0.23,0.27,0.0,-0.0,-93.45,79.22,-0.03,-9.34,-0.61,-0.09,0.18,0.22,0.23,0.27,0.06,255.27,-16.87,79.45,5.56,-1.24,1.16,0.96,0.18,0.22,0.23,0.27,0.13,0.48,0.1
1981-01-04,0.05,104.79,-86.03,79.34,1.12,-2.47,-0.07,-1.29,0.18,0.22,0.23,0.27,0.04,-0.0,-138.77,79.17,-2.13,-3.51,-0.58,-2.56,0.18,0.22,0.23,0.27,0.06,434.95,-57.28,79.52,5.85,-0.75,0.51,-0.38,0.18,0.22,0.23,0.27,0.0,0.94,0.09
1981-01-05,0.11,95.86,-76.49,79.38,-2.05,-5.23,-0.09,-1.52,0.18,0.22,0.23,0.27,0.04,-0.0,-148.84,79.32,-6.04,-6.98,-0.48,-2.69,0.17,0.22,0.23,0.27,0.16,441.47,-13.25,79.49,2.42,-2.27,0.44,-0.55,0.18,0.22,0.23,0.27,0.13,1.02,0.09
1981-01-06,0.09,108.89,-99.11,79.38,1.08,-9.57,-0.27,0.5,0.17,0.22,0.23,0.27,0.07,-0.0,-156.83,79.23,-5.26,-13.12,-0.65,-0.44,0.17,0.22,0.23,0.27,0.12,443.21,-69.86,79.56,8.06,-6.27,0.2,1.24,0.18,0.22,0.23,0.27,0.0,1.16,0.08
1981-01-07,0.06,106.49,-96.74,78.94,2.34,-11.52,0.22,0.27,0.17,0.22,0.23,0.27,0.04,-0.0,-154.08,78.82,-0.98,-14.96,-0.42,-0.88,0.16,0.22,0.23,0.27,0.07,435.69,-68.74,79.15,6.97,-7.49,1.3,1.25,0.17,0.22,0.23,0.27,0.0,1.16,0.09
1981-01-08,0.04,106.76,-89.8,79.01,1.34,-8.12,0.16,-0.24,0.16,0.22,0.23,0.27,0.03,-0.0,-154.89,78.82,-4.08,-9.99,-0.37,-0.77,0.16,0.22,0.23,0.27,0.04,424.31,-54.17,79.24,6.72,-5.97,1.05,0.77,0.16,0.22,0.23,0.27,0.0,1.11,0.09
1981-01-09,0.02,105.56,-89.33,79.31,2.71,-7.32,-0.3,-0.16,0.16,0.22,0.23,0.27,0.02,-0.0,-149.32,79.21,-2.09,-8.47,-0.74,-0.63,0.15,0.22,0.23,0.27,0.03,442.52,-53.63,79.43,8.18,-6.52,0.25,0.19,0.16,0.22,0.23,0.27,0.0,1.09,0.09
1981-01-10,0.01,111.08,-97.54,79.37,2.55,-9.7,-0.54,0.33,0.15,0.22,0.23,0.27,0.01,-0.0,-160.3,79.26,-2.74,-11.31,-0.75,-0.12,0.15,0.22,0.23,0.27,0.02,450.95,-68.24,79.52,7.99,-7.76,-0.26,0.97,0.15,0.22,0.23,0.27,0.0,1.23,0.09
